age,FP no mobile,FP 1 mobile,FP 2 mobile,FP 3 mobile,FP total,SP no mobile,SP 1 mobile,SP 2 mobile,SP 3 mobile,SP total
6 -> 10,890565,248874,1505,171,1141115,229195,895847,16072,0,1141115
10 -> 14,1965320,365033,572,0,2330925,352877,1969060,8417,571,2330925
15 -> 19,4019601,403459,903,1254,4425216,361183,4045768,17611,654,4425216
20 -> 24,4158004,595605,2547,485,4756641,561098,4159369,33114,3061,4756641
25 -> 29,3823669,737097,902,1126,4562794,671422,3864044,26313,1016,4562794
30 -> 34,3608727,947559,3606,775,4560668,865159,3636204,56315,2990,4560668
35 -> 39,3408923,1471956,2256,512,4883646,1381645,3458400,40425,3176,4883646
40 -> 49,5026342,4861184,8499,3363,9899388,4682535,5138697,73535,4621,9899388
50 -> 59,2865934,5334707,15981,2764,8219386,5225678,2940019,48568,5121,8219386
60 and over,1218317,5115242,8209,74,6341842,5082449,1244774,13554,1064,6341842
total,30985402,20080716,44980,10524,51121621,19413242,31352180,333925,22275,51121621
