age,no mobile,1 mobile,2 mobile,3 mobile,total
6 -> 10,890565,248874,1505,171,1141115
10 -> 14,1965320,365033,572,0,2330925
15 -> 19,4019601,403459,903,1254,4425216
20 -> 24,4158004,595605,2547,485,4756641
25 -> 29,3823669,737097,902,1126,4562794
30 -> 34,3608727,947559,3606,775,4560668
35 -> 39,3408923,1471956,2256,512,4883646
40 -> 49,5026342,4861184,8499,3363,9899388
50 -> 59,2865934,5334707,15981,2764,8219386
60 and over,1218317,5115242,8209,74,6341842
total,30985402,20080716,44980,10524,51121621
